Cue,Answer,face,emotion,gender,identity,mouth,ethnicity,base,move_1,move_2,move_3,
,,A_female_1_BF15_BW/BF15_AO.jpg,angry,female,1,open,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_female_1_BF15_BW/BF15_AC.jpg,angry,female,1,closed,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_female_2_BF17_BW/BF17_AO.jpg,angry,female,2,open,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_female_2_BF17_BW/BF17_AC.jpg,angry,female,2,closed,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_male_1_BM15_BW/BM15_AO.jpg,angry,male,3,open,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_male_1_BM15_BW/BM15_AC.jpg,angry,male,3,closed,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_male_2_BM09_BW/BM09_AO.jpg,angry,male,4,open,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_male_2_BM09_BW/BM09_AC.jpg,angry,male,4,closed,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_female_1_BF15_BW/BF15_HO.jpg,happy,female,1,open,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_female_1_BF15_BW/BF15_HC.jpg,happy,female,1,closed,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
,,A_female_2_BF17_BW/BF17_HO.jpg,happy,female,2,open,african,congruent/base_silhouette.png,congruent/i2con_silhouette.png,congruent/i3con_silhouette.png,congruent/i4con_silhouette.png,
