item_name,text,Type,Answers,Values,Score: Attention,Score:Cognitive_instability,Score:Attentional_2ndOrder,Score:Motor,Score:Perseverance,Score:Motor_2ndOrder,Score:Self_control,Score:Cognitive_complexity,Score:Nonplanning_2ndOrder,Optional,
Instructions1," People differ in the ways they act and think in different situations.  This is a test to measure some of the ways in which you act and think.  Read each statement and select the most appropriate answer. Do not spend too much time on any statement. Answer quickly and honestly",Instruct,,,,,,,,,,,,,
BIS1,I plan tasks carefully,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,r1,,r1,No,
BIS2,I do things without thinking,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS3,I make-up my mind quickly,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS4,I am happy-go-lucky,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS5,I don’t “pay attention”,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,1,,1,,,,,,,No,
BIS6,I have “racing” thoughts,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,1,1,,,,,,,No,
BIS7,I plan trips well ahead of time,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,r1,,r1,No,
BIS8,I am self controlled,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,r1,,r1,No,
BIS9,I concentrate easily,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,r1,,r1,,,,,,,No,
BIS10,I save regularly,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,,r1,r1,No,
BIS11,I “squirm” at plays or lectures,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,1,,1,,,,,,,No,
BIS12,I am a careful thinker,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,r1,,r1,No,
BIS13,I plan for job security,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,r1,,r1,No,
BIS14,I say things without thinking,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,1,,1,No,
BIS15,I like to think about complex problems,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,,r1,r1,No,
BIS16,I change jobs,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,1,1,,,,No,
BIS17,I act “on impulse”,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS18,I get easily bored when solving thought problems,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,,1,1,No,
BIS19,I act on the spur of the moment,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS20,I am a steady thinker,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,r1,,r1,,,,,,,No,
BIS21,I change residences,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,1,1,,,,No,
BIS22,I buy things on impulse,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS23,I can only think about one thing at a time,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,1,1,,,,No,
BIS24,I change hobbies,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,1,1,,,,,,,No,
BIS25,I spend or charge more than I earn,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,1,,1,,,,No,
BIS26,I often have extraneous thoughts when thinking,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,1,1,,,,,,,No,
BIS27,I am more interested in the present than the future,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,,1,1,No,
BIS28,I am restless at the theater or lectures,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,1,,1,,,,,,,No,
BIS29,I like puzzles,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,,,,r1,r1,No,
BIS30,I am future oriented,likert,Rarely/Never|Occasionally|Often|Almost Always/Always,1|2|3|4,,,,,r1,r1,,,,No,
,,,,,,,,,,,,,,,
