item_name,text,Type,Answers,Values,Score: AQ_Test,Score: Social_Skill,Score: Attention_switching,Score: Communication,Score: Imagination,Score: Attention_to_detail,Optional
Instructions1,Choose one response that best describes how strongly each item applies to you:,Instruct,,,,,,,,,
AQ1,I prefer to do things with others rather than on my own.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ2,I prefer to do things the same way over and over again.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,1,,,,No
AQ4,I frequently get so strongly absorbed in one thing that I lose sight of other things.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,1,,,,No
AQ5,I often notice small sounds when others do not.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,,1,No
AQ6,I usually notice car number plates or similar strings of information.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,,1,No
AQ9,I am fascinated by dates.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,,1,No
AQ11,I find social situations easy.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ12,I tend to notice details that others do not.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,,1,No
AQ13,I would rather go to a library than a party.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,1,,,,,No
AQ14,I find making up stories easy.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,,r1,,No
AQ15,I find myself drawn more strongly to people than to things.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ16,I tend to have very strong interests which I get upset about if I can’t pursue.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,1,,,,No
AQ17,I enjoy social chit-chat.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,r1,,,No
AQ19,I am fascinated by numbers.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,,1,No
AQ21,I don’t particularly enjoy reading fiction.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,1,,No
AQ22,I find it hard to make new friends.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,1,,,,,No
AQ23,I notice patterns in things all the time.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,,1,No
AQ24,I would rather go to the theatre than a museum.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,,r1,,No
AQ25,It does not upset me if my daily routine is disturbed.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,r1,,,,No
AQ26,I frequently find that I don’t know how to keep a conversation going.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,1,,,No
AQ27,I find it easy to “read between the lines” when someone is talking to me.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,r1,,,No
AQ28,I usually concentrate more on the whole picture,,,,,,,,,,
AQ29,I am not very good at remembering phone numbers.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,,,r1,No
AQ30,I don’t usually notice small changes in a situation,,,,,,,,,,
AQ31,I know how to tell if someone listening to me is getting bored.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,r1,,,No
AQ32,I find it easy to do more than one thing at once.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,r1,,,,No
AQ33,When I talk on the phone,,,,,,,,,,
AQ34,I enjoy doing things spontaneously.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,r1,,,,No
AQ35,I am often the last to understand the point of a joke.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,1,,,No
AQ36,I find it easy to work out what someone is thinking or feeling just by looking at their face.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ37,If there is an interruption,,,,,,,,,,
AQ38,I am good at social chit-chat.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,r1,,,No
AQ39,People often tell me that I keep going on and on about the same thing.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,1,,,No
AQ40,When I was young,,,,,,,,,,
AQ41,I like to collect information about categories of things (e.g. types of car,,,,,,,,,,
AQ42,I find it difficult to imagine what it would be like to be someone else.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,,,1,,No
AQ43,I like to plan any activities I participate in carefully.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,1,,,,No
AQ44,I enjoy social occasions.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ45,I find it difficult to work out people’s intentions.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,1,,,,,No
AQ46,New situations make me anxious.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,1,,1,,,,No
AQ47,I enjoy meeting new people.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ48,I am a good diplomat.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,r1,,,,,No
AQ49,I am not very good at remembering people’s date of birth.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,,,r1,No
AQ50,I find it very easy to play games with children that involve pretending.,likert,Definitely agree|Slightly agree|Slightly disagree|Definitely disagree,1|1|0|0,r1,,,,r1,,No
